accession,type,species,description,last_update,factors
E-MTAB-7915,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-6224,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-8307,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-7777,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-74903,differential,Rattus norvegicus,Differential expression comparing cell type,,cell type
E-GEOD-46474,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8253,differential,Caenorhabditis elegans,Differential expression comparing conditions,,
E-MTAB-9806,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-MTAB-6755,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-7790,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6275,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8005,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8021,differential,Arabidopsis thaliana,Differential expression comparing stimulus,,stimulus
E-MTAB-8255,differential,Mus musculus,"Differential expression comparing disease, stimulus",,"disease, stimulus"
E-GEOD-40827,differential,Mus musculus,Differential expression comparing infect,,infect
E-MTAB-7859,differential,Mus musculus,"Differential expression comparing compound, organism part",,"compound, organism part"
E-MTAB-8304,differential,Rattus norvegicus,Differential expression comparing stimulus,,stimulus
E-MTAB-9187,differential,Mus musculus,Differential expression comparing sampling site,,sampling site
E-MTAB-9750,differential,Mus musculus,"Differential expression comparing stimulus, sampling site",,"stimulus, sampling site"
E-MTAB-7920,differential,Danio rerio,"Differential expression comparing developmental stage, organism part",,"developmental stage, organism part"
E-MTAB-6074,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5137,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-6038,differential,Gallus gallus,Differential expression comparing infect,,infect
E-MTAB-8036,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-MTAB-8185,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-MTAB-8667,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-9850,differential,Mus musculus,Differential expression comparing disease,,disease
E-MTAB-5311,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8777,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8198,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-MTAB-8008,differential,Homo sapiens,"Differential expression comparing infect, stimulus",,"infect, stimulus"
E-MTAB-6473,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-7805,differential,Homo sapiens,Differential expression comparing infect,,infect
E-MTAB-7021,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7672,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6151,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-MTAB-6244,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7841,differential,Homo sapiens,"Differential expression comparing infect, phenotype",,"infect, phenotype"
E-GEOD-32384,differential,Homo sapiens,"Differential expression comparing disease, disease staging",,"disease, disease staging"
E-GEOD-46960,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-46699,differential,Homo sapiens,Differential expression comparing sampling site,,sampling site
E-MTAB-7658,differential,Mus musculus,Differential expression comparing infect,,infect
E-MTAB-8187,differential,Beta vulgaris,Differential expression comparing infect,,infect
E-GEOD-106937,differential,Homo sapiens,"Differential expression comparing disease, sampling site",,"disease, sampling site"
E-MTAB-7836,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-GEOD-111250,differential,Zea mays,Differential expression comparing compound,,compound
E-MTAB-9805,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-7755,differential,Mus musculus,Differential expression comparing diet,,diet
E-MTAB-6584,differential,Drosophila melanogaster,"Differential expression comparing compound, organism part",,"compound, organism part"
E-MTAB-6664,differential,Sus scrofa,Differential expression comparing treatment,,treatment
E-GEOD-120683,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-123147,differential,Zea mays,Differential expression comparing conditions,,
E-MTAB-8755,differential,Mus musculus,Differential expression comparing developmental stage,,developmental stage
E-CURD-49,differential,Oryza sativa Japonica Group,Differential expression comparing compound,,compound
E-GEOD-114103,differential,Gallus gallus,Differential expression comparing conditions,,
E-MTAB-6087,differential,Homo sapiens,"Differential expression comparing cell line, growth condition",,"cell line, growth condition"
E-MTAB-8332,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-7853,differential,Mus musculus,"Differential expression comparing stimulus, disease",,"stimulus, disease"
E-MTAB-5132,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-7794,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-8407,differential,Mus musculus,Differential expression comparing disease,,disease
E-MTAB-8022,differential,Bos taurus,"Differential expression comparing infect, stimulus",,"infect, stimulus"
E-GEOD-40840,differential,Mus musculus,Differential expression comparing infect,,infect
E-GEOD-120674,differential,Zea mays,Differential expression comparing conditions,,
E-MTAB-7409,differential,Drosophila melanogaster,Differential expression comparing phenotype,,phenotype
E-MTAB-7987,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6255,differential,Sus scrofa,Differential expression comparing sex,,sex
E-MTAB-6502,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9658,differential,Homo sapiens,"Differential expression comparing disease, organism part",,"disease, organism part"
E-MTAB-6013,differential,Homo sapiens,Differential expression comparing cell type,,cell type
E-MTAB-7681,differential,Homo sapiens,Differential expression comparing infect,,infect
E-MTAB-7886,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-9711,differential,Homo sapiens,"Differential expression comparing infect, compound",,"infect, compound"
E-MTAB-7555,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-6403,differential,Homo sapiens,Differential expression comparing biopsy site,,biopsy site
E-MTAB-503,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6598,differential,Homo sapiens,"Differential expression comparing cell type, cell line, stimulus",,"cell type, cell line, stimulus"
E-MTAB-6597,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-17967,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-55092,differential,Homo sapiens,"Differential expression comparing cell type, phenotype, sampling site",,"cell type, phenotype, sampling site"
E-MTAB-5118,differential,Oryza sativa Japonica Group,Differential expression comparing conditions,,
E-MTAB-9838,differential,Arabidopsis thaliana,Differential expression comparing stimulus,,stimulus
E-MTAB-8865,differential,Drosophila melanogaster,Differential expression comparing phenotype,,phenotype
E-MTAB-6847,differential,Saccharomyces cerevisiae,Differential expression comparing compound,,compound
E-MTAB-8266,differential,Mus musculus,"Differential expression comparing disease, injury",,"disease, injury"
E-GEOD-120774,differential,Homo sapiens,"Differential expression comparing disease, organism part",,"disease, organism part"
E-MTAB-9171,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-9752,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-7689,differential,Solanum lycopersicum,Differential expression comparing infect,,infect
E-GEOD-130856,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-8380,differential,Oryza sativa Japonica Group,Differential expression comparing conditions,,
E-MTAB-8697,differential,Medicago truncatula,Differential expression comparing compound,,compound
E-MTAB-8475,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-9773,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8326,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-7131,differential,Sus scrofa,Differential expression comparing conditions,,
E-MTAB-8443,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-72742,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-CURD-48,differential,Oryza sativa Japonica Group,"Differential expression comparing compound, organism part",,"compound, organism part"
E-MTAB-9809,differential,Mus musculus,Differential expression comparing sex,,sex
E-MTAB-7773,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-9183,differential,Mus musculus,Differential expression comparing infect,,infect
E-MTAB-8249,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-7472,differential,Homo sapiens,"Differential expression comparing growth condition, sampling site",,"growth condition, sampling site"
E-MTAB-7803,differential,Homo sapiens,"Differential expression comparing stimulus, infect, compound",,"stimulus, infect, compound"
E-MTAB-7679,differential,Homo sapiens,"Differential expression comparing infect, developmental stage",,"infect, developmental stage"
E-MTAB-7938,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-GEOD-14386,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-GEOD-15235,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-34205,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-26104,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-72925,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-61739,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-66494,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-76882,differential,Homo sapiens,"Differential expression comparing disease, disease staging",,"disease, disease staging"
E-GEOD-60502,differential,Homo sapiens,Differential expression comparing sampling site,,sampling site
E-MTAB-8796,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9745,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9749,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-8557,differential,Arabidopsis thaliana,Differential expression comparing phenotype,,phenotype
E-GEOD-40824,differential,Mus musculus,Differential expression comparing infect,,infect
E-GEOD-8188,differential,Zea mays,Differential expression comparing cultivar,,cultivar
E-MTAB-9704,differential,Mus musculus,Differential expression comparing compound,,compound
E-CURD-76,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-MTAB-6242,differential,Sus scrofa,Differential expression comparing compound,,compound
E-MTAB-7657,differential,Saccharomyces cerevisiae,Differential expression comparing conditions,,
E-MTAB-5946,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-49262,differential,Mus musculus,Differential expression comparing infect,,infect
E-MTAB-8838,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-CURD-113,differential,Zea mays,"Differential expression comparing developmental stage, organism part",,"developmental stage, organism part"
E-MTAB-8209,differential,Mus musculus,Differential expression comparing genetic modification,,genetic modification
E-MTAB-5936,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8025,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-MTAB-8240,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9563,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-9869,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-9164,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MTAB-8840,differential,Mus musculus,Differential expression comparing diet,,diet
E-MTAB-6620,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-8521,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MTAB-8604,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6158,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-9863,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7061,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-MTAB-6298,differential,Homo sapiens,"Differential expression comparing fraction, protocol",,"fraction, protocol"
E-MTAB-6241,differential,Homo sapiens,Differential expression comparing cell line,,cell line
E-GEOD-24187,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-93798,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-65485,differential,Homo sapiens,Differential expression comparing sampling site,,sampling site
E-GEOD-7307,differential,Homo sapiens,"Differential expression comparing cell line, stimulus, organism part",,"cell line, stimulus, organism part, disease"
E-MTAB-8506,differential,Mus musculus,"Differential expression comparing diet, organism part",,"diet, organism part"
E-MTAB-8785,differential,Xenopus tropicalis,Differential expression comparing injury,,injury
E-MTAB-9864,differential,Mus musculus,"Differential expression comparing disease, compound",,"disease, compound"
E-MTAB-7807,differential,Hordeum vulgare subsp. vulgare,Differential expression comparing growth condition,,growth condition
E-MTAB-8279,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-MTAB-7345,differential,Mus musculus,"Differential expression comparing stimulus, compound, phenotype",,"stimulus, compound, phenotype"
E-GEOD-33266,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-GEOD-139480,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-9628,differential,Mus musculus,Differential expression comparing fraction,,fraction
E-MTAB-9009,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-49263,differential,Mus musculus,Differential expression comparing infect,,infect
E-GEOD-107014,differential,Vitis vinifera,Differential expression comparing organism part,,organism part
E-ENAD-46,differential,Homo sapiens,"Differential expression comparing disease, organism part",,"disease, organism part"
E-MTAB-7655,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9342,differential,Brassica napus,Differential expression comparing environmental stress,,environmental stress
E-GEOD-122610,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-10059,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-9538,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9275,differential,Mus musculus,"Differential expression comparing cell line, compound",,"cell line, compound"
E-MTAB-8411,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-GEOD-116582,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-8325,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-8527,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-11166,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6204,differential,Homo sapiens,Differential expression comparing fraction,,fraction
E-MTAB-7087,differential,Homo sapiens,"Differential expression comparing treatment, disease",,"treatment, disease"
E-MTAB-7808,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-MTAB-3731,differential,Homo sapiens,"Differential expression comparing cell type, growth condition",,"cell type, growth condition"
E-GEOD-14346,differential,Homo sapiens,"Differential expression comparing cell type, disease",,"cell type, disease"
E-GEOD-12606,differential,Homo sapiens,"Differential expression comparing disease, sampling site",,"disease, sampling site"
E-GEOD-47962,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-37827,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-66270,differential,Homo sapiens,Differential expression comparing sampling site,,sampling site
E-MTAB-8917,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-9270,differential,Mus musculus,Differential expression comparing injury,,injury
E-MTAB-9250,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-GEOD-150847,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9975,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9098,differential,Sus scrofa,Differential expression comparing compound,,compound
E-GEOD-93081,differential,Oryza sativa,Differential expression comparing conditions,,
E-GEOD-85653,differential,Arabidopsis thaliana,Differential expression comparing environmental stress,,environmental stress
E-GEOD-121146,differential,Vitis vinifera,Differential expression comparing stimulus,,stimulus
E-MTAB-8674,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8520,differential,Triticum aestivum,Differential expression comparing environmental stress,,environmental stress
E-GEOD-34476,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-39463,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-MTAB-8668,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-9907,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8550,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-100100,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-116066,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-128441,differential,Sorghum bicolor,"Differential expression comparing environmental stress, organism part",,"environmental stress, organism part"
E-MTAB-8934,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9180,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-GEOD-108912,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-139439,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-9569,differential,Arabidopsis thaliana,"Differential expression comparing developmental stage, organism part",,"developmental stage, organism part"
E-MTAB-9255,differential,Rattus norvegicus,Differential expression comparing disease,,disease
E-MTAB-9148,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-112368,differential,Arabidopsis thaliana,Differential expression comparing environmental stress,,environmental stress
E-GEOD-130127,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8402,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8803,differential,Homo sapiens,Differential expression comparing sampling site,,sampling site
E-MTAB-9943,differential,Mus musculus,"Differential expression comparing cell type, compound, disease",,"cell type, compound, disease"
E-MTAB-8572,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-9639,differential,Homo sapiens,Differential expression comparing cell type,,cell type
E-GEOD-15641,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-21374,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-30718,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-34437,differential,Homo sapiens,"Differential expression comparing disease, disease staging",,"disease, disease staging"
E-MTAB-9895,differential,Mus musculus,Differential expression comparing environmental stress,,environmental stress
E-MTAB-8350,differential,Gallus gallus,Differential expression comparing infect,,infect
E-MTAB-8024,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-99677,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-122411,differential,Vitis vinifera,Differential expression comparing conditions,,
E-MTAB-9213,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-3530,differential,Rattus norvegicus,Differential expression comparing diet,,diet
E-GEOD-99576,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-8435,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-CURD-41,differential,Zea mays,Differential expression comparing conditions,,
E-MTAB-9008,differential,Mus musculus,Differential expression comparing injury,,injury
E-MTAB-10036,differential,Mus musculus,Differential expression comparing infect,,infect
E-MTAB-8343,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-GEOD-116423,differential,Oryza sativa Japonica Group,Differential expression comparing conditions,,
E-GEOD-107018,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-9308,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-10226,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-109341,differential,Oryza sativa Japonica Group,"Differential expression comparing compound, organism part",,"compound, organism part"
E-GEOD-92611,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-139813,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-MTAB-5264,differential,Mus musculus,Differential expression comparing strain,,strain
E-MTAB-9042,differential,Saccharomyces cerevisiae,Differential expression comparing compound,,compound
E-MTAB-9932,differential,Medicago truncatula,Differential expression comparing infect,,infect
E-GEOD-116422,differential,Oryza sativa Indica Group,Differential expression comparing conditions,,
E-GEOD-112441,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-9865,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9942,differential,Medicago truncatula,Differential expression comparing growth condition,,growth condition
E-MTAB-3884,differential,Mus musculus,Differential expression comparing conditions,,
E-CURD-42,differential,Zea mays,Differential expression comparing organism part,,organism part
E-MTAB-8243,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-9950,differential,Homo sapiens,"Differential expression comparing disease, sex",,"disease, sex"
E-MTAB-7884,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-9848,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-9315,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-9667,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-5162,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-34748,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-9493,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-9355,differential,Saccharomyces cerevisiae,Differential expression comparing compound,,compound
E-GEOD-114188,differential,Oryza sativa Indica Group,Differential expression comparing conditions,,
E-GEOD-123258,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-57244,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-GEOD-81259,differential,Homo sapiens,"Differential expression comparing disease, response to treatment",,"disease, response to treatment"
E-MTAB-7876,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MTAB-9361,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8515,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-68684,differential,Arabidopsis thaliana,"Differential expression comparing environmental stress, phenotype",,"environmental stress, phenotype"
E-MTAB-8523,differential,Arabidopsis thaliana,"Differential expression comparing infect, environmental stress",,"infect, environmental stress"
E-MTAB-9624,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8344,differential,Mus musculus,"Differential expression comparing stimulus, strain, phenotype",,"stimulus, strain, phenotype"
E-GEOD-113557,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-8882,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8834,differential,Mus musculus,"Differential expression comparing compound, phenotype",,"compound, phenotype"
E-GEOD-13032,differential,Mus musculus,"Differential expression comparing stimulus, strain, compound",,"stimulus, strain, compound"
E-GEOD-100371,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-6256,differential,Sus scrofa,Differential expression comparing sex,,sex
E-MTAB-8482,differential,Mus musculus,"Differential expression comparing cell type, disease",,"cell type, disease"
E-MTAB-9540,differential,Mus musculus,Differential expression comparing growth condition,,growth condition
E-GEOD-114379,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-79970,differential,Homo sapiens,"Differential expression comparing disease, disease staging",,"disease, disease staging"
E-CURD-60,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-MTAB-8284,differential,Caenorhabditis elegans,Differential expression comparing irradiate,,irradiate
E-MTAB-8538,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-95373,differential,Arabidopsis thaliana,"Differential expression comparing environmental stress, ecotype",,"environmental stress, ecotype"
E-GEOD-1009,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-9182,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-9933,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7647,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-MTAB-9397,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-7197,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-6713,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-1563,differential,Homo sapiens,"Differential expression comparing disease, organism part, histopathology",,"disease, organism part, histopathology"
E-GEOD-23343,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-23597,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-41168,differential,Homo sapiens,"Differential expression comparing compound, diet, organism part",,"compound, diet, organism part"
E-CURD-64,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-MTAB-8536,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-108730,differential,Arabidopsis thaliana,Differential expression comparing stimulus,,stimulus
E-MTAB-8544,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-MTAB-8012,differential,Mus musculus,Differential expression comparing conditions,,
E-CURD-68,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-GEOD-68820,differential,Mus musculus,Differential expression comparing infect,,infect
E-GEOD-117052,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-7561,differential,Mus musculus,"Differential expression comparing diet, organism part",,"diet, organism part"
E-MTAB-9618,differential,Mus musculus,Differential expression comparing developmental stage,,developmental stage
E-CURD-72,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-MTAB-8101,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-8478,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-70100,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-CURD-29,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-8580,differential,Mus musculus,Differential expression comparing conditions,,
E-CURD-65,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-MTAB-7451,differential,Drosophila melanogaster,Differential expression comparing conditions,,
